cod_uf,uf,uf_nome,regiao,cluster,segmento,aptidao_solar,cop_medio_anual,oportunidade_conversao,rendimento_medio_pc,trend_aquecedor_solar,trend_bomba_de_calor,temp_media_anual,radiacao_media,amplitude_media,temp_minima_inverno,temp_minima_absoluta,cop_inverno,populacao,media_moradores,pct_casa,pct_apartamento,pct_rede_geral,trend_aquecimento_de_piscina,trend_aquecimento_solar,trend_chuveiro_eletrico,ano,mes,temp_media_mensal,temp_minima_mensal,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia,consumo_comercial_mwh,consumo_industrial_mwh,consumo_residencial_mwh,n_domicilios,consumo_resid_por_domicilio
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,10,27.952301729864807,24.532074,4.3946843,7.3849053,31,Norte,3.6879,2.1973,63402.435,43425.043,141432.218,555099.0,0.2547873766661442
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,11,26.42919583712223,21.896667,5.598637,10.243334,30,Norte,3.601,2.7993,60624.891,40600.082,129686.851,555099.0,0.2336283275595884
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2022,12,26.080627380770576,22.87742,4.668182,7.929032,31,Norte,3.5813,2.3341,63861.608,42282.888,143042.358,555099.0,0.2576880124085974
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2023,1,25.440000661214192,22.900002,3.0241666,6.174999,31,Norte,3.5455,1.5121,57347.344,41504.975,124348.227,555099.0,0.2240109007582431
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2023,2,,,,,28,Norte,,,54871.332,39857.462,116252.559,555099.0,0.2094267130728032
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2023,3,27.10552873716249,23.4,5.0145764,8.35,31,Norte,3.6393,2.5073,61712.977,43086.12,135317.405,555099.0,0.2437716605506405
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2023,4,26.268647283838508,23.98125,1.9829218,5.46875,30,Norte,3.5919,0.9915,59678.066,42146.19,122831.888,555099.0,0.2212792456841032
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2023,5,26.58946436483644,23.267347,3.4810953,7.7306128,31,Norte,3.61,1.7405,63534.191,43962.409,136711.757,555099.0,0.2462835584283164
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2023,6,24.426012448952328,19.744999,4.094387,10.855833,30,Norte,3.4896,2.0472,63087.866,42983.28,137870.033,555099.0,0.2483701700057106
11,RO,Rondônia,Norte,0,Fronteira morna,2.265996610169492,3.584079661016949,45.9,1750,18.0,4.0,26.117909886676216,4.531985325423729,9.613307544067796,20.0121652,7.4,3.5698933333333334,1572676.0,2.83,0.9057429395477204,0.0688525830527527,0.4615194767059569,3.0,12.0,63.0,2023,7,25.53042320989472,19.308872,4.3866034,14.183871,31,Norte,3.5506,2.1933,60076.703,43763.94,129133.242,555099.0,0.2326310117654688
