NC,NN,MC,MN,qtd_domicilios,cod_uf,uf,D2C,ano,D3C,variavel,cod_categoria,categoria
3,Unidade da Federação,1020,Unidades,218.0,24,Rio Grande do Norte,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,1372108.0,25,Paraíba,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,1167112.0,25,Paraíba,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,24306.0,25,Paraíba,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,179090.0,25,Paraíba,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,1275.0,25,Paraíba,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,325.0,25,Paraíba,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,3184223.0,26,Pernambuco,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,2769933.0,26,Pernambuco,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,46194.0,26,Pernambuco,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,361740.0,26,Pernambuco,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,5295.0,26,Pernambuco,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,1061.0,26,Pernambuco,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,1041552.0,27,Alagoas,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,910482.0,27,Alagoas,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,47269.0,27,Alagoas,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,82949.0,27,Alagoas,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,631.0,27,Alagoas,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,221.0,27,Alagoas,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,782919.0,28,Sergipe,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,672873.0,28,Sergipe,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,24861.0,28,Sergipe,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,84540.0,28,Sergipe,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,497.0,28,Sergipe,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,148.0,28,Sergipe,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,5088635.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,4495175.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,104761.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,479059.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,7687.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,17.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados,71976,Habitação indígena sem paredes ou maloca
3,Unidade da Federação,1020,Unidades,1936.0,29,Bahia,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,7533434.0,31,Minas Gerais,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,6352165.0,31,Minas Gerais,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,78805.0,31,Minas Gerais,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,1081539.0,31,Minas Gerais,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,17717.0,31,Minas Gerais,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,3208.0,31,Minas Gerais,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,1428739.0,32,Espírito Santo,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,1144572.0,32,Espírito Santo,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,7862.0,32,Espírito Santo,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,272084.0,32,Espírito Santo,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,3477.0,32,Espírito Santo,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,744.0,32,Espírito Santo,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,6152051.0,33,Rio de Janeiro,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
3,Unidade da Federação,1020,Unidades,4386270.0,33,Rio de Janeiro,2022,2022,381,Domicílios particulares permanentes ocupados,6815,Casa
3,Unidade da Federação,1020,Unidades,365621.0,33,Rio de Janeiro,2022,2022,381,Domicílios particulares permanentes ocupados,121264,Casa de vila ou em condomínio
3,Unidade da Federação,1020,Unidades,1373050.0,33,Rio de Janeiro,2022,2022,381,Domicílios particulares permanentes ocupados,3247,Apartamento
3,Unidade da Federação,1020,Unidades,24585.0,33,Rio de Janeiro,2022,2022,381,Domicílios particulares permanentes ocupados,71975,Habitação em casa de cômodos ou cortiço
3,Unidade da Federação,1020,Unidades,2525.0,33,Rio de Janeiro,2022,2022,381,Domicílios particulares permanentes ocupados,71977,Estrutura residencial permanente degradada ou inacabada
3,Unidade da Federação,1020,Unidades,16224248.0,35,São Paulo,2022,2022,381,Domicílios particulares permanentes ocupados,2932,Total
