uf,ano,mes,temp_media_mensal,temp_minima_mensal,temp_minima_absoluta,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia,consumo_comercial_mwh,consumo_industrial_mwh,consumo_residencial_mwh,n_domicilios,consumo_resid_por_domicilio
AC,2025,2,25.415924284935176,22.970238,21.0,4.307339,6.8190475,28,Norte,3.5442,2.1537,22549.115,4261.669,57605.143,261001.0,0.22070851452676424
AC,2025,3,25.593131147212983,23.159575,21.6,4.2025948,7.014893,31,Norte,3.554,2.1013,22995.085,4557.291,54974.192,261001.0,0.21062828111769688
AC,2025,4,25.60361697216404,22.858475,20.1,4.1488,7.533051,30,Norte,3.5546,2.0744,23032.359,4514.434,55247.102,261001.0,0.21167390929536667
AC,2025,5,25.294825318039106,22.12258,14.9,4.057628,8.247581,31,Norte,3.5375,2.0288,24319.382,4695.936,59550.299,261001.0,0.22816119095329138
AC,2025,6,24.135972118377687,20.465832,14.5,3.3728359,9.003333,30,Norte,3.4737,1.6864,22713.476,4494.506,54969.465,261001.0,0.2106101700759767
AC,2025,7,23.541435744172784,17.829033,10.9,4.211389,12.944355,31,Norte,3.4414,2.1057,21523.765,4639.063,49341.195,261001.0,0.18904599982375547
AC,2025,8,25.310853650493005,19.784678,13.0,4.5445056,12.717742,31,Norte,3.5383,2.2723,23801.072,4906.391,57108.041,261001.0,0.21880391646009018
AC,2025,9,25.95121540493436,21.734167,17.8,4.666342,10.734166,30,Norte,3.5741,2.3332,24583.833,4745.405,59884.555,261001.0,0.22944186037601388
AC,2025,10,25.762512836827,22.105646,17.1,4.8699026,9.441936,31,Norte,3.5635,2.435,24863.825,4824.057,60445.919,261001.0,0.23159267205872774
AC,2025,11,25.80276219632868,22.7225,19.3,4.530968,8.130834,30,Norte,3.5658,2.2655,25250.101,4690.443,62744.532,261001.0,0.2403995846759208
AC,2025,12,25.327735227285704,22.434408,19.1,4.155336,7.8075266,31,Norte,3.5393,2.0777,24519.296,4763.678,60576.136,261001.0,0.23209158585599288
AL,2021,1,27.39175390669816,22.911764,20.5,4.646868,8.575164,31,Nordeste,3.6557,2.3234,69483.852,78160.617,135267.034,1041552.0,0.12987064880102003
AL,2021,2,28.59248403694884,23.176428,20.7,5.595427,9.963572,28,Nordeste,3.7251,2.7977,67326.557,88147.518,136647.731,1041552.0,0.13119626384472402
AL,2021,3,27.729090643749743,22.87871,20.4,5.256416,9.229677,31,Nordeste,3.6751,2.6282,70256.702,118786.956,146705.995,1041552.0,0.14085326032689677
AL,2021,4,26.913166187568148,22.838667,17.8,4.3900666,7.9893336,30,Nordeste,3.6284,2.195,63681.826,112103.103,140812.803,1041552.0,0.13519517316466198
AL,2021,5,25.02402275437465,21.92258,18.9,4.033895,6.5919356,31,Nordeste,3.5225,2.0169,65000.117,128466.684,135235.705,1041552.0,0.12984056964990706
AL,2021,6,24.24167627158248,21.199999,17.9,3.516511,6.3413796,30,Nordeste,3.4795,1.7583,60408.6,96044.03,127747.622,1041552.0,0.12265121856613977
AL,2021,7,23.98749574896133,20.785246,17.3,4.011567,6.7057376,31,Nordeste,3.4656,2.0058,62184.571,98797.208,118519.496,1041552.0,0.11379124229995238
AL,2021,8,23.80785600393151,20.613821,16.3,4.1511784,6.7162604,31,Nordeste,3.4559,2.0756,62502.039,129646.185,117073.807,1041552.0,0.11240322806734565
AL,2021,9,25.43169583648536,21.410257,18.0,5.122745,8.158119,30,Nordeste,3.5451,2.5614,67079.178,130435.054,124313.487,1041552.0,0.11935408601778884
AL,2021,10,26.955495984770938,22.641592,19.5,5.890739,9.143362,31,Nordeste,3.6308,2.9454,72262.02,98154.788,132412.465,1041552.0,0.12712996086609213
AL,2021,11,28.02176882664636,23.843138,20.3,5.925007,9.524509,30,Nordeste,3.692,2.9625,76223.498,82647.907,138231.747,1041552.0,0.1327170866168948
AL,2021,12,27.198029433870463,23.27527,20.1,5.7711134,9.205377,31,Nordeste,3.6446,2.8856,77850.896,132546.722,143749.795,1041552.0,0.13801499589074767
AL,2022,1,27.09330546914753,22.88842,20.6,6.0292463,9.437895,31,Nordeste,3.6386,3.0146,73822.989,127781.933,144181.002,1041552.0,0.1384290001843403
AL,2022,2,28.0571958655841,23.135294,21.1,6.589723,11.027059,28,Nordeste,3.694,3.2949,71483.194,139498.855,140990.082,1041552.0,0.13536537974100188
AL,2022,3,26.685375320940626,23.038712,20.8,5.530915,8.889248,31,Nordeste,3.6154,2.7655,76549.579,151955.53,152354.199,1041552.0,0.1462761331167335
AL,2022,4,26.566164305652027,22.74111,20.2,5.3654065,8.914444,30,Nordeste,3.6087,2.6827,72700.824,136107.814,140822.411,1041552.0,0.13520439786011643
AL,2022,5,24.995521534362734,22.238708,19.7,3.7339742,6.806452,31,Nordeste,3.5209,1.867,73134.029,71805.169,147799.627,1041552.0,0.14190326263115044
AL,2022,6,23.587076448636555,21.391851,17.7,3.0444272,5.3118515,30,Nordeste,3.4439,1.5222,61824.47,114435.26,121999.595,1041552.0,0.1171325051461665
AL,2022,7,23.185454868972805,20.530718,16.8,3.6902976,6.1555552,31,Nordeste,3.4223,1.8451,65579.473,172561.6,126603.597,1041552.0,0.12155283365592884
AL,2022,8,23.206533720059618,20.283443,17.4,3.6658525,6.40438,31,Nordeste,3.4234,1.8329,67272.863,169590.948,125297.162,1041552.0,0.12029851798085933
AL,2022,9,23.889316058498306,20.07483,17.2,5.5698423,8.504762,30,Nordeste,3.4603,2.7849,69411.847,123941.425,133015.08,1041552.0,0.1277085349555279
AL,2022,10,25.535659077126454,21.407097,18.0,5.8836794,9.150968,31,Nordeste,3.5508,2.9418,74817.33,114661.187,139774.849,1041552.0,0.13419862762492893
AL,2022,11,26.25168975900144,22.429333,20.6,5.4881153,8.665334,30,Nordeste,3.5909,2.7441,75676.568,108415.002,144959.898,1041552.0,0.1391768226646389
AL,2022,12,26.836932156144528,22.91104,19.7,5.9860497,8.589611,31,Nordeste,3.624,2.993,80189.968,106466.85,157789.737,1041552.0,0.15149482407023365
AL,2023,1,27.249357500688248,22.72473,20.0,6.0583863,9.822043,31,Nordeste,3.6476,3.0292,80219.118,145833.188,158684.39,1041552.0,0.15235378550470838
AL,2023,2,27.23184891711164,22.924404,18.8,5.71254,9.625,28,Nordeste,3.6466,2.8563,75200.842,119739.369,156364.719,1041552.0,0.15012665618231255
AL,2023,3,27.203727446857787,23.061829,20.2,5.4440885,9.286021,31,Nordeste,3.6449,2.722,82858.844,146560.801,164670.499,1041552.0,0.15810108280719543
AL,2023,4,26.936857359436136,23.106112,19.4,5.0446563,8.888889,30,Nordeste,3.6297,2.5223,79060.244,159053.639,163424.676,1041552.0,0.15690496105811327
AL,2023,5,26.08875852835661,22.825142,20.8,4.0507636,7.3805714,31,Nordeste,3.5818,2.0254,79261.324,145214.022,161583.647,1041552.0,0.155137378642641
AL,2023,6,24.821910752838622,22.308475,19.1,3.4234726,5.4689264,30,Nordeste,3.5113,1.7117,68681.147,152933.035,149102.411,1041552.0,0.14315407296035146
AL,2023,7,24.208122096760103,21.002516,17.9,3.959935,6.6603775,31,Nordeste,3.4776,1.98,69168.185,128201.64,138287.537,1041552.0,0.13277065091325255
AL,2023,8,24.67281397739408,21.39394,17.5,4.4334335,7.230909,31,Nordeste,3.5031,2.2167,70786.571,125150.523,135331.897,1041552.0,0.12993292413628893
AL,2023,9,24.59373961719772,20.988571,17.1,5.007581,8.383333,30,Nordeste,3.4987,2.5038,71560.576,159160.807,141983.057,1041552.0,0.13631874068697483
AL,2023,10,25.977181575493304,21.408653,17.6,6.0518904,10.383173,31,Nordeste,3.5755,3.0259,76946.278,149602.796,145107.305,1041552.0,0.13931834896385392
AL,2023,11,27.4894783885632,22.422222,18.7,6.355428,11.375,30,Nordeste,3.6613,3.1777,83235.156,144892.811,171191.062,1041552.0,0.16436151243528888
AL,2023,12,27.4635591378708,23.211706,19.3,5.6124372,9.670732,31,Nordeste,3.6598,2.8062,83171.458,153673.141,171920.153,1041552.0,0.16506151685177503
AL,2024,1,28.693772566974243,24.14931,20.7,6.0885954,10.357604,31,Nordeste,3.731,3.0443,87087.593,151408.085,182928.535,1041552.0,0.1756307270304315
AL,2024,2,27.958721454343205,24.286207,20.7,5.561842,8.629557,29,Nordeste,3.6883,2.7809,83668.569,137623.746,180501.102,1041552.0,0.17330013479883866
AL,2024,3,28.58657645736525,24.562674,22.0,5.741988,9.435484,31,Nordeste,3.7248,2.871,89432.35,177120.945,183070.295,1041552.0,0.17576683161282394
AL,2024,4,27.481201863316016,24.069525,21.5,4.9464135,8.404762,30,Nordeste,3.6608,2.4732,86377.673,124875.391,187706.601,1041552.0,0.18021817537674548
AL,2024,5,25.68809963067503,22.86129,19.5,4.1000056,6.7299542,31,Nordeste,3.5593,2.05,83717.677,117327.992,182621.283,1041552.0,0.17533573263744873
AL,2024,6,24.21150953924493,21.513332,17.6,3.7766721,6.651905,30,Nordeste,3.4778,1.8883,74979.626,122258.189,160681.698,1041552.0,0.15427141227706345
AL,2024,7,23.55708177351172,20.464186,16.6,3.998954,7.222326,31,Nordeste,3.4423,1.9995,74650.031,145263.464,150156.103,1041552.0,0.14416572864340907
AL,2024,8,23.911593258679822,19.89604,16.9,4.9759545,9.082673,31,Nordeste,3.4615,2.488,77419.929,158095.024,153156.473,1041552.0,0.14704640094781635
AL,2024,9,24.721935803203905,20.335394,16.6,5.344823,9.648314,30,Nordeste,3.5058,2.6724,77564.598,141014.876,158914.52,1041552.0,0.1525747346267877
AL,2024,10,26.813884271937454,22.106558,16.3,5.957597,10.36776,31,Nordeste,3.6227,2.9788,85037.052,107944.373,163800.951,1041552.0,0.15726622482602884
AL,2024,11,28.1342837509542,23.609093,19.5,5.983974,9.819886,30,Nordeste,3.6985,2.992,86820.95,128034.268,178418.956,1041552.0,0.17130105458008818
AL,2024,12,28.55146898161673,24.258602,20.5,6.100577,9.47043,31,Nordeste,3.7227,3.0503,89580.611,158673.127,188886.315,1041552.0,0.1813508254988709
AL,2025,1,28.530340227605777,24.622906,21.8,5.5252237,8.805028,31,Nordeste,3.7215,2.7626,89831.684,123659.735,195591.043,1041552.0,0.18778807299107486
AL,2025,2,27.660007929194013,23.72454,21.0,5.733091,8.509816,28,Nordeste,3.6711,2.8665,85495.194,125226.493,189499.906,1041552.0,0.18193993770834294
AL,2025,3,28.41613635765548,24.123075,20.8,5.656476,9.189011,31,Nordeste,3.7148,2.8282,90092.572,139289.214,190657.479,1041552.0,0.18305133013042074
AL,2025,4,28.08002370540332,23.279333,21.6,5.7596383,10.555333,30,Nordeste,3.6953,2.8798,90496.013,112433.74,194803.272,1041552.0,0.18703172957279138
AL,2025,5,25.654367877243686,22.574602,20.3,4.147346,7.2174606,31,Nordeste,3.5575,2.0737,87353.819,132883.235,200752.825,1041552.0,0.19274392925173203
AL,2025,6,24.094404335826656,21.548359,19.2,3.4851995,6.0680327,30,Nordeste,3.4714,1.7426,78121.851,113399.44,170082.351,1041552.0,0.16329703269735932
AL,2025,7,23.57603555708592,20.45974,17.0,3.8629546,7.0376625,31,Nordeste,3.4433,1.9315,77177.318,106153.629,162309.221,1041552.0,0.15583400636742092
AL,2025,8,24.05165933474349,20.54375,16.9,4.227033,7.3062496,31,Nordeste,3.4691,2.1135,78304.387,101688.342,157994.466,1041552.0,0.15169138554772107
AL,2025,9,24.085171347882024,20.544,17.0,4.8457017,8.202667,30,Nordeste,3.4709,2.4229,79390.869,89932.06,165720.608,1041552.0,0.15910929843157134
AL,2025,10,25.44807388715522,21.092258,17.3,6.028095,9.807741,31,Nordeste,3.546,3.014,86479.514,68550.387,174999.877,1041552.0,0.16801837738298234
AL,2025,11,27.114468686169456,21.953333,18.3,6.6801853,11.561333,30,Nordeste,3.6398,3.3401,88996.59,71827.982,188146.753,1041552.0,0.18064076781572116
AL,2025,12,27.64651225571532,22.651613,19.4,6.4320664,11.252904,31,Nordeste,3.6703,3.216,93998.977,69013.189,207122.057,1041552.0,0.19885906512588905
AM,2021,1,26.223755121184134,23.563463,21.3,3.3326797,6.3552885,31,Norte,3.5894,1.6663,89778.0,129755.0,165005.0,1079880.0,0.15279938511686483
AM,2021,2,26.876609369286463,24.175844,21.8,3.289461,6.0695653,28,Norte,3.6263,1.6447,79477.0,130051.0,148929.0,1079880.0,0.1379125458384265
AM,2021,3,26.37145325278483,23.796774,21.3,3.2326262,5.9528227,31,Norte,3.5977,1.6163,94871.0,157052.0,154891.0,1079880.0,0.14343352965144276
AM,2021,4,26.957848784424645,24.203045,22.0,3.4027395,6.2413044,30,Norte,3.6309,1.7014,102995.0,152061.0,170668.0,1079880.0,0.15804348631329407
AM,2021,5,27.15681326659545,24.331133,19.6,3.1827765,6.061321,31,Norte,3.6423,1.5914,109563.0,157178.0,170229.0,1079880.0,0.1576369596621847
AM,2021,6,27.30962027348769,24.324865,12.0,3.4327753,6.0772967,30,Norte,3.651,1.7164,112873.725,152013.179,181425.0,1079880.0,0.16800477830870097
AM,2021,7,27.613327277817344,24.009342,14.1,3.721604,6.894506,31,Norte,3.6684,1.8608,118202.881,156044.703,170312.0,1079880.0,0.15771382005408008
AM,2021,8,28.804868431565897,24.810871,18.2,3.9498017,7.5315213,31,Norte,3.7375,1.9749,155641.205,165692.771,186826.0,1079880.0,0.17300625995480978
AM,2021,9,28.11881162198756,24.2,20.9,4.34659,8.096518,30,Norte,3.6976,2.1733,125348.783,161271.188,204788.0,1079880.0,0.18963958958402785
AM,2021,10,28.194577950239022,24.4,20.5,4.5250087,8.005,31,Norte,3.702,2.2625,126743.874,165607.743,197066.0,1079880.0,0.182488795051302
AM,2021,11,27.18831166468261,24.112919,21.1,3.9517155,6.895215,30,Norte,3.6441,1.9759,122168.725,160214.208,203928.0,1079880.0,0.1888432048005334
AM,2021,12,26.777552729159467,24.139172,20.2,3.368806,6.0824885,31,Norte,3.6207,1.6844,118587.365,139295.722,199557.0,1079880.0,0.18479553283698189
AM,2022,1,26.7687349931251,23.710234,20.9,3.7333286,6.7051163,31,Norte,3.6202,1.8667,114486.0,148788.0,191847.0,1079880.0,0.17765585065007222
AM,2022,2,26.211863365095017,23.44949,20.7,3.3943186,6.146428,28,Norte,3.5887,1.6972,106626.0,144548.0,180395.0,1079880.0,0.16705096862614366
AM,2022,3,26.18943838174353,23.511013,20.8,3.51678,6.25859,31,Norte,3.5874,1.7584,116136.0,161249.0,180613.0,1079880.0,0.1672528429084713
AM,2022,4,26.600390693385773,23.812685,19.5,3.6824663,6.419776,30,Norte,3.6106,1.8412,113565.0,152871.0,169509.0,1079880.0,0.15697021891321258
AM,2022,5,26.806265375908232,23.974258,20.1,3.943167,6.356106,31,Norte,3.6223,1.9716,93340.0,165309.0,167976.0,1079880.0,0.1555506167351928
AM,2022,6,26.163690171354467,23.018942,19.0,4.026045,7.234819,30,Norte,3.586,2.013,110633.0,155629.0,175317.0,1079880.0,0.16234859428825424
AM,2022,7,26.97348861813161,22.910515,17.2,4.638604,9.326398,31,Norte,3.6318,2.3193,125392.0,166840.0,177704.0,1079880.0,0.1645590250768604
AM,2022,8,26.87823140014921,22.698399,16.5,4.9099283,9.718307,31,Norte,3.6264,2.455,135581.0,180499.0,202870.0,1079880.0,0.1878634663110716
AM,2022,9,27.781818938843685,23.14345,18.4,5.2835994,10.655402,30,Norte,3.6781,2.6418,134471.0,173674.0,203202.0,1079880.0,0.18817090787865318
AM,2022,10,27.04825197573508,23.176035,19.0,4.8099737,9.387582,31,Norte,3.6361,2.405,132866.0,177149.0,200093.0,1079880.0,0.1852918842834389
AM,2022,11,26.610464892563183,22.979197,15.0,4.606728,8.744918,30,Norte,3.6112,2.3034,130245.0,171081.0,199941.0,1079880.0,0.18515112790310034
AM,2022,12,26.14852158589599,22.948473,19.1,4.4366393,7.963974,31,Norte,3.5851,2.2183,125544.0,147576.0,190266.0,1079880.0,0.17619179908878765
AM,2023,1,25.274019647892345,22.586452,19.6,3.9222534,7.0883875,31,Norte,3.5363,1.9611,119195.0,162273.0,173506.0,1079880.0,0.1606715560988258
AM,2023,2,25.551040875675312,22.909286,20.0,4.057239,7.1152377,28,Norte,3.5517,2.0286,110512.0,148907.0,162453.0,1079880.0,0.15043615957328593
AM,2023,3,26.05409162140157,23.252066,19.8,4.1318965,7.1385317,31,Norte,3.5798,2.0659,125556.0,175916.0,176926.0,1079880.0,0.1638385746564433
AM,2023,4,26.42631946996258,23.588531,20.7,4.0943346,7.265367,30,Norte,3.6008,2.0472,123118.0,160839.0,191433.0,1079880.0,0.17727247471941326
AM,2023,5,26.95099058228509,24.10194,21.4,3.7362008,7.021336,31,Norte,3.6305,1.8681,133650.0,176895.0,200059.0,1079880.0,0.18526039930362634
AM,2023,6,26.4877313493266,23.094927,11.3,3.7746196,7.807188,30,Norte,3.6043,1.8873,132674.0,163405.0,212651.0,1079880.0,0.1969209541800941
AM,2023,7,27.3907206349228,22.97736,16.2,4.49683,9.81698,31,Norte,3.6556,2.2484,138483.0,174160.0,219770.0,1079880.0,0.2035133533355558
AM,2023,8,28.29030475038851,23.791313,19.1,4.86739,10.215677,31,Norte,3.7075,2.4337,148584.0,187593.0,238742.0,1079880.0,0.22108197207097086
AM,2023,9,28.85224710669606,24.050436,19.5,5.09416,10.971834,30,Norte,3.7403,2.5471,147337.0,181413.0,253069.0,1079880.0,0.2343491869466978
AM,2023,10,29.049038517132256,24.383959,20.6,4.9106197,10.679999,31,Norte,3.7518,2.4553,146305.0,177645.0,251239.0,1079880.0,0.232654554209727
AM,2023,11,28.43104359715244,24.28865,19.6,4.500845,9.51606,30,Norte,3.7157,2.2504,140994.0,161724.0,252921.0,1079880.0,0.2342121346816313
AM,2023,12,27.05047085750237,23.860483,20.2,3.8911717,7.8481855,31,Norte,3.6362,1.9456,133602.0,153546.0,222000.0,1079880.0,0.20557839759973331
AM,2024,1,27.19347109896617,24.119999,21.0,4.088215,7.549592,31,Norte,3.6444,2.0441,134214.0,179182.0,216708.0,1079880.0,0.2006778530947883
AM,2024,2,27.521517700605106,24.173334,20.0,4.4138317,7.9268966,29,Norte,3.6631,2.2069,133944.0,173996.0,224627.0,1079880.0,0.20801107530466348
AM,2024,3,27.275425562368014,24.42306,21.1,3.8880584,7.0586205,31,Norte,3.649,1.944,138722.0,188203.0,217213.0,1079880.0,0.2011454976478868
AM,2024,4,27.14019640987961,24.360176,21.7,3.9232333,7.0170355,30,Norte,3.6413,1.9616,137674.0,189717.0,214897.0,1079880.0,0.19900081490535987
AM,2024,5,26.90318155685576,24.096697,16.6,3.412808,6.6414094,31,Norte,3.6278,1.7064,141030.0,195529.0,219027.0,1079880.0,0.20282531392376932
AM,2024,6,27.298270051528377,23.507107,18.8,3.9436047,8.70533,30,Norte,3.6503,1.9718,141802.0,183930.0,214748.0,1079880.0,0.19886283661147536
AM,2024,7,27.304922944244687,22.967453,15.1,4.085353,9.599737,31,Norte,3.6507,2.0427,151620.0,203210.0,234013.0,1079880.0,0.21670278179056932
AM,2024,8,27.90105444926212,22.88402,14.2,4.478385,10.964434,31,Norte,3.685,2.2392,157539.0,210795.0,248047.0,1079880.0,0.22969867022261733
AM,2024,9,29.330567122746984,24.525381,19.9,4.259063,10.395685,30,Norte,3.7684,2.1295,159956.0,196964.0,268299.0,1079880.0,0.2484526058450939
