uf,ano,mes,temp_media_mensal,temp_minima_mensal,temp_minima_absoluta,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia
AL,2025,12,27.64651225571532,22.651613,19.4,6.4320664,11.252904,31,Nordeste,3.6703,3.216
AM,2021,1,26.223755121184134,23.563463,21.3,3.3326797,6.3552885,31,Norte,3.5894,1.6663
AM,2021,2,26.876609369286463,24.175844,21.8,3.289461,6.0695653,28,Norte,3.6263,1.6447
AM,2021,3,26.37145325278483,23.796774,21.3,3.2326262,5.9528227,31,Norte,3.5977,1.6163
AM,2021,4,26.957848784424645,24.203045,22.0,3.4027395,6.2413044,30,Norte,3.6309,1.7014
AM,2021,5,27.15681326659545,24.331133,19.6,3.1827765,6.061321,31,Norte,3.6423,1.5914
AM,2021,6,27.30962027348769,24.324865,12.0,3.4327753,6.0772967,30,Norte,3.651,1.7164
AM,2021,7,27.613327277817344,24.009342,14.1,3.721604,6.894506,31,Norte,3.6684,1.8608
AM,2021,8,28.804868431565897,24.810871,18.2,3.9498017,7.5315213,31,Norte,3.7375,1.9749
AM,2021,9,28.11881162198756,24.2,20.9,4.34659,8.096518,30,Norte,3.6976,2.1733
AM,2021,10,28.194577950239022,24.4,20.5,4.5250087,8.005,31,Norte,3.702,2.2625
AM,2021,11,27.18831166468261,24.112919,21.1,3.9517155,6.895215,30,Norte,3.6441,1.9759
AM,2021,12,26.777552729159467,24.139172,20.2,3.368806,6.0824885,31,Norte,3.6207,1.6844
AM,2022,1,26.7687349931251,23.710234,20.9,3.7333286,6.7051163,31,Norte,3.6202,1.8667
AM,2022,2,26.211863365095017,23.44949,20.7,3.3943186,6.146428,28,Norte,3.5887,1.6972
AM,2022,3,26.18943838174353,23.511013,20.8,3.51678,6.25859,31,Norte,3.5874,1.7584
AM,2022,4,26.600390693385773,23.812685,19.5,3.6824663,6.419776,30,Norte,3.6106,1.8412
AM,2022,5,26.806265375908232,23.974258,20.1,3.943167,6.356106,31,Norte,3.6223,1.9716
AM,2022,6,26.163690171354467,23.018942,19.0,4.026045,7.234819,30,Norte,3.586,2.013
AM,2022,7,26.97348861813161,22.910515,17.2,4.638604,9.326398,31,Norte,3.6318,2.3193
AM,2022,8,26.87823140014921,22.698399,16.5,4.9099283,9.718307,31,Norte,3.6264,2.455
AM,2022,9,27.781818938843685,23.14345,18.4,5.2835994,10.655402,30,Norte,3.6781,2.6418
AM,2022,10,27.04825197573508,23.176035,19.0,4.8099737,9.387582,31,Norte,3.6361,2.405
AM,2022,11,26.610464892563183,22.979197,15.0,4.606728,8.744918,30,Norte,3.6112,2.3034
AM,2022,12,26.14852158589599,22.948473,19.1,4.4366393,7.963974,31,Norte,3.5851,2.2183
AM,2023,1,25.274019647892345,22.586452,19.6,3.9222534,7.0883875,31,Norte,3.5363,1.9611
AM,2023,2,25.551040875675312,22.909286,20.0,4.057239,7.1152377,28,Norte,3.5517,2.0286
AM,2023,3,26.05409162140157,23.252066,19.8,4.1318965,7.1385317,31,Norte,3.5798,2.0659
AM,2023,4,26.42631946996258,23.588531,20.7,4.0943346,7.265367,30,Norte,3.6008,2.0472
AM,2023,5,26.95099058228509,24.10194,21.4,3.7362008,7.021336,31,Norte,3.6305,1.8681
AM,2023,6,26.4877313493266,23.094927,11.3,3.7746196,7.807188,30,Norte,3.6043,1.8873
AM,2023,7,27.3907206349228,22.97736,16.2,4.49683,9.81698,31,Norte,3.6556,2.2484
AM,2023,8,28.29030475038851,23.791313,19.1,4.86739,10.215677,31,Norte,3.7075,2.4337
AM,2023,9,28.85224710669606,24.050436,19.5,5.09416,10.971834,30,Norte,3.7403,2.5471
AM,2023,10,29.049038517132256,24.383959,20.6,4.9106197,10.679999,31,Norte,3.7518,2.4553
AM,2023,11,28.43104359715244,24.28865,19.6,4.500845,9.51606,30,Norte,3.7157,2.2504
AM,2023,12,27.05047085750237,23.860483,20.2,3.8911717,7.8481855,31,Norte,3.6362,1.9456
AM,2024,1,27.19347109896617,24.119999,21.0,4.088215,7.549592,31,Norte,3.6444,2.0441
AM,2024,2,27.521517700605106,24.173334,20.0,4.4138317,7.9268966,29,Norte,3.6631,2.2069
AM,2024,3,27.275425562368014,24.42306,21.1,3.8880584,7.0586205,31,Norte,3.649,1.944
AM,2024,4,27.14019640987961,24.360176,21.7,3.9232333,7.0170355,30,Norte,3.6413,1.9616
AM,2024,5,26.903181556855756,24.096697,16.6,3.412808,6.6414094,31,Norte,3.6278,1.7064
AM,2024,6,27.298270051528377,23.507107,18.8,3.9436047,8.70533,30,Norte,3.6503,1.9718
AM,2024,7,27.304922944244687,22.967453,15.1,4.085353,9.599737,31,Norte,3.6507,2.0427
AM,2024,8,27.90105444926212,22.88402,14.2,4.478385,10.964434,31,Norte,3.685,2.2392
AM,2024,9,29.330567122746984,24.525381,19.9,4.259063,10.395685,30,Norte,3.7684,2.1295
AM,2024,10,28.792970251397385,24.436813,20.6,4.288145,9.837337,31,Norte,3.7368,2.1441
AM,2024,11,27.84794410640049,24.098547,20.4,4.0018463,8.868314,30,Norte,3.6819,2.0009
AM,2024,12,27.112270822034883,24.138971,21.1,3.6009033,7.220588,31,Norte,3.6397,1.8005
AM,2025,1,26.55358535257505,23.5575,20.6,3.7757833,7.36675,31,Norte,3.608,1.8879
AM,2025,2,26.205032886077337,23.539286,20.9,3.6501482,6.7788463,28,Norte,3.5883,1.8251
AM,2025,3,26.51335829758644,23.65,20.4,3.8124845,7.0691543,31,Norte,3.6057,1.9062
AM,2025,4,26.73300635032018,23.97732,21.1,3.7307649,6.946134,30,Norte,3.6182,1.8654
AM,2025,5,26.74152287539033,23.86997,16.4,3.7227106,7.18102,31,Norte,3.6186,1.8614
AM,2025,6,26.45527103980899,23.20754,16.7,3.6739426,7.6491804,30,Norte,3.6024,1.837
AM,2025,7,26.651120889556687,22.503237,13.4,4.179145,9.190288,31,Norte,3.6135,2.0896
AM,2025,8,27.89683948077189,23.43992,16.1,4.7520742,9.53871,31,Norte,3.6847,2.376
AM,2025,9,27.90560193542229,23.728111,18.5,4.6798463,9.4096775,30,Norte,3.6852,2.3399
AM,2025,10,27.148142557380467,23.464516,20.7,4.6465797,8.911982,31,Norte,3.6418,2.3233
AM,2025,11,27.239344779890985,23.840359,21.0,4.410601,8.252018,30,Norte,3.647,2.2053
AM,2025,12,26.79268821231673,23.814646,20.9,4.0260143,7.2656903,31,Norte,3.6215,2.013
AP,2021,1,26.065995757302463,23.427868,21.6,4.4069595,6.9524593,31,Norte,3.5805,2.2035
AP,2021,2,25.29533203449943,23.0625,21.5,4.112847,6.226786,28,Norte,3.5375,2.0564
AP,2021,3,25.3645987180607,22.775806,20.5,4.237542,6.7080646,31,Norte,3.5413,2.1188
AP,2021,4,26.03492813042566,23.46,22.0,4.3870173,6.5800004,30,Norte,3.5788,2.1935
AP,2021,5,26.99247525114745,23.918034,22.1,4.19957,6.24918,31,Norte,3.6329,2.0998
AP,2021,6,27.95103042552758,24.184782,22.4,3.714704,6.2739134,30,Norte,3.6879,1.8574
AP,2021,7,29.222765184706198,26.409678,23.7,2.2531729,4.067742,31,Norte,3.762,1.1266
AP,2021,8,30.17826063736625,28.376192,25.3,1.3103877,2.9761906,31,Norte,3.8186,0.6552
AP,2021,9,31.34999942779541,30.2,30.2,0.46834722,1.5999985,30,Norte,3.8891,0.2342
AP,2021,10,,,,,,31,Norte,,
AP,2021,11,,,,,,30,Norte,,
AP,2021,12,,,,,,31,Norte,,
AP,2022,1,29.899999618530277,,,0.32708332,,31,Norte,3.8021,0.1635
AP,2022,2,,,,,,28,Norte,,
AP,2022,3,,,,,,31,Norte,,
AP,2022,4,25.563897984843383,23.403124,21.9,3.7142913,5.9322915,30,Norte,3.5524,1.8571
AP,2022,5,25.500492820603014,23.17527,21.8,3.9629672,6.311828,31,Norte,3.5489,1.9815
AP,2022,6,25.947836032990487,22.720966,21.2,4.905746,7.937097,30,Norte,3.5739,2.4529
AP,2022,7,26.09386681997648,22.853226,20.5,4.9581738,7.904838,31,Norte,3.5821,2.4791
AP,2022,8,27.08669950495038,23.358065,20.8,5.8935823,8.693548,31,Norte,3.6383,2.9468
AP,2022,9,27.940259721544056,23.601665,21.5,6.4779305,9.463333,30,Norte,3.6872,3.239
AP,2022,10,28.396633449750453,24.08387,21.6,6.281749,9.56129,31,Norte,3.7137,3.1409
AP,2022,11,27.220706243100373,23.558332,21.6,5.6022034,8.676666,30,Norte,3.6459,2.8011
AP,2022,12,26.007776009483717,22.948387,21.2,4.720623,7.7403226,31,Norte,3.5772,2.3603
AP,2023,1,25.50344793833727,22.793547,21.4,4.4641294,6.7564516,31,Norte,3.549,2.2321
AP,2023,2,25.243952281161395,22.955357,21.5,4.048586,6.3857145,28,Norte,3.5346,2.0243
AP,2023,3,25.51702125025737,23.096775,21.2,4.2066665,6.595161,31,Norte,3.5498,2.1033
AP,2023,4,26.18581532833081,23.355001,21.4,4.6728153,7.163333,30,Norte,3.5872,2.3364
AP,2023,5,26.57613839445651,23.890322,21.9,4.46222,6.996774,31,Norte,3.6093,2.2311
AP,2023,6,26.66923607720269,23.515001,22.0,4.969853,7.626666,30,Norte,3.6145,2.4849
AP,2023,7,26.98787099437883,23.56129,21.7,5.4302154,8.069355,31,Norte,3.6326,2.7151
AP,2023,8,28.09004499801914,24.051613,21.2,6.103897,8.908064,31,Norte,3.6959,3.0519
AP,2023,9,28.7646468250072,24.215,22.2,6.394896,9.941667,30,Norte,3.7351,3.1974
AP,2023,10,29.07559901946836,24.425806,22.1,6.4455767,10.135485,31,Norte,3.7534,3.2228
AP,2023,11,28.75290905975292,24.647058,21.8,5.283874,9.32647,30,Norte,3.7345,2.6419
AP,2023,12,27.37527389589134,24.01371,21.5,4.7795954,8.418549,31,Norte,3.6548,2.3898
AP,2024,1,26.33146052469594,23.708065,21.2,4.231458,6.9387093,31,Norte,3.5954,2.1157
