NC,NN,MC,MN,qtd_domicilios,cod_uf,uf,D2C,ano,D3C,variavel,cod_categoria,categoria
3,Unidade da Federação,1020,Unidades,278922,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72153,Não possui ligação com a rede geral
3,Unidade da Federação,1020,Unidades,157160,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72154,Não possui ligação com a rede geral - Poço profundo ou artesiano
3,Unidade da Federação,1020,Unidades,25199,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72155,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,6325,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72156,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,679,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72157,Não possui ligação com a rede geral - Carro-pipa
3,Unidade da Federação,1020,Unidades,13242,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72158,Não possui ligação com a rede geral - Água da chuva armazenada
3,Unidade da Federação,1020,Unidades,67095,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72159,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés"
3,Unidade da Federação,1020,Unidades,9222,13,Amazonas,2022,2022,381,Domicílios particulares permanentes ocupados,72160,Não possui ligação com a rede geral - Outra
3,Unidade da Federação,1020,Unidades,177418,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72129,Total
3,Unidade da Federação,1020,Unidades,144273,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72144,Possui ligação à rede geral e a utiliza como forma principal
3,Unidade da Federação,1020,Unidades,4859,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72145,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
3,Unidade da Federação,1020,Unidades,3080,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72146,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano"
3,Unidade da Federação,1020,Unidades,819,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72147,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,837,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72148,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,4,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72149,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa"
3,Unidade da Federação,1020,Unidades,2,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72150,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada"
3,Unidade da Federação,1020,Unidades,36,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72151,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés"
3,Unidade da Federação,1020,Unidades,81,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72152,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra"
